Date,Forcasted Correlation,Forcasted Volatility RTR,Forcasted Volatility Future
31/01/2019,-0.99998601,0.017325912,0.001571304
28/02/2019,-0.997592616,0.019379421,0.00157094
31/03/2019,-0.999827719,0.026675886,0.001570971
30/04/2019,-0.005442194,0.020338747,0.001570975
31/05/2019,-0.007255282,0.017853196,0.001570959
30/06/2019,-0.999984382,0.017162388,0.001571275
31/07/2019,-0.002351644,0.01675661,0.001571139
31/08/2019,-0.001280928,0.016625242,0.001571615
30/09/2019,-0.002074662,0.016583167,0.001571196
31/10/2019,-0.001502036,0.016569739,0.00157143
30/11/2019,-0.999852652,0.016748957,0.001570975
31/12/2019,-0.00138344,0.016622785,0.001571518
31/01/2020,-0.007259652,0.016582382,0.001570959
29/02/2020,-0.002642793,0.016569489,0.001571097
31/03/2020,-0.999998695,0.016611875,0.001580067
30/04/2020,-0.999999994,0.025915858,0.002822231
31/05/2020,-0.999998963,0.060334716,0.001588123
30/06/2020,-0.999988444,0.036727214,0.001677812
31/07/2020,-0.005492553,0.024833731,0.00157098
31/08/2020,0.999996668,0.019635243,0.001580169
30/09/2020,-0.999968522,0.017660018,0.001571105
31/10/2020,-0.001217873,0.016920555,0.001571687
30/11/2020,-0.999853144,0.016741237,0.001570975
31/12/2020,-0.999971132,0.016873824,0.001571125
31/01/2021,-0.000555076,0.016662972,0.001574542
28/02/2021,-0.001659915,0.016595228,0.001571343
31/03/2021,-0.000528469,0.016573586,0.001574915
30/04/2021,-0.003510445,0.016566684,0.001571028
31/05/2021,-0.999896989,0.016629147,0.00157099
30/06/2021,-0.002922784,0.016584415,0.001571068
31/07/2021,-0.002435715,0.016570137,0.001571125
31/08/2021,-0.003985479,0.016565585,0.001571008
30/09/2021,-0.007304968,0.016564135,0.001570959
31/10/2021,-0.002922608,0.016563672,0.001571068
30/11/2021,0.999998867,0.016628549,0.001637376
31/12/2021,-0.9999992,0.016649527,0.00161844
31/01/2022,-0.999999799,0.016851956,0.001711039
28/02/2022,-0.999999974,0.018844558,0.0020969
31/03/2022,-0.999999961,0.030059846,0.00178841
30/04/2022,-0.99999995,0.030066874,0.001703462
31/05/2022,-0.999999974,0.027007081,0.0020381
30/06/2022,-0.999999961,0.028177537,0.001796065
31/07/2022,-0.99999993,0.026492276,0.001668413
31/08/2022,-0.999999987,0.028003125,0.002488347
30/09/2022,-0.999999992,0.043775815,0.002946697
31/10/2022,-0.999999961,0.037002055,0.002092216
30/11/2022,-0.999999992,0.041599366,0.003560256
31/12/2022,-0.999999981,0.051741324,0.002667594
31/01/2023,-0.999999967,0.059238489,0.001973697
28/02/2023,-0.99999991,0.039387525,0.002795043
31/03/2023,-0.999999923,0.038929812,0.001769094
